
Name                                         ProcessId ExecutablePath                                                  
WidgetService.exe                                21040 C:\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime...
RemoteDesktopCompanion.exe                       26156 C:\Program Files\Meta Horizon\Support\oculus-remote-desktop\R...
msedgewebview2.exe                               65976 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\150....
msedgewebview2.exe                               38892 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\150....
MQRDCrashpadHandler.exe                          28752 C:\Program Files\Meta Horizon\Support\oculus-remote-desktop\M...
msedgewebview2.exe                               60980 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\150....
msedgewebview2.exe                                3852 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\150....
msedgewebview2.exe                               75748 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\150....
msedgewebview2.exe                               70856 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\150....
ctfmon.exe                                       16260                                                                 
TabTip.exe                                       29336                                                                 
LockApp.exe                                      76136 C:\WINDOWS\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp...
RuntimeBroker.exe                                62444 C:\Windows\System32\RuntimeBroker.exe                           
svchost.exe                                      29640 C:\WINDOWS\system32\svchost.exe                                 
powershell.exe                                   24356 C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe       
conhost.exe                                       5888 C:\WINDOWS\system32\conhost.exe                                 
TextInputHost.exe                                10436 C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txye...
RtkAudUService64.exe                             74976 C:\Windows\System32\DriverStore\FileRepository\realtekservice...
Discord.exe                                      52764 C:\Users\DEVIL\AppData\Local\Discord\app-1.0.9245\Discord.exe   
Discord.exe                                      72976 C:\Users\DEVIL\AppData\Local\Discord\app-1.0.9245\Discord.exe   
Discord.exe                                      70220 C:\Users\DEVIL\AppData\Local\Discord\app-1.0.9245\Discord.exe   
Discord.exe                                      68888 C:\Users\DEVIL\AppData\Local\Discord\app-1.0.9245\Discord.exe   
Discord.exe                                      31060 C:\Users\DEVIL\AppData\Local\Discord\app-1.0.9245\Discord.exe   
MouseWithoutBordersHelper.exe                    67332 C:\Program Files (x86)\Microsoft Garage\Mouse without Borders...
Discord.exe                                      73352 C:\Users\DEVIL\AppData\Local\Discord\app-1.0.9245\Discord.exe   
ElgatoAudioControlServerWatcher.exe              32544 C:\Program Files\Elgato\Volume Controller\ElgatoAudioControlS...
ElgatoAudioControlServer.exe                     68732 C:\Program Files\Elgato\Volume Controller\ElgatoAudioControlS...
secd.exe                                         38180 C:\Program Files\WindowsApps\AppleInc.iCloud_15.8.127.0_x64__...
WaveCastDriverEnabler.exe                         3612 C:\Program Files\Elgato\WaveCastDriver\WaveCastDriverEnabler.exe
GoogleDriveFS.exe                                64504 C:\Program Files\Google\Drive File Stream\127.0.1.0\GoogleDri...
crashpad_handler.exe                              7800 C:\Program Files\Google\Drive File Stream\127.0.1.0\crashpad_...
Camera Hub.exe                                   46212 C:\Program Files\Elgato\CameraHub\Camera Hub.exe                
crashpad_handler.exe                             11668 C:\Program Files\Elgato\CameraHub\crashpad_handler.exe          
Elgato.WaveCast.exe                              50140 C:\Program Files\WindowsApps\Elgato.WaveCast_1.2.2.2976_x64__...
crashpad_handler.exe                             75608 C:\Users\DEVIL\AppData\Local\Packages\Elgato.WaveCast_g54w8zt...
GoogleDriveFS.exe                                47044 C:\Program Files\Google\Drive File Stream\127.0.1.0\GoogleDri...
conhost.exe                                      77144 C:\WINDOWS\system32\conhost.exe                                 
msedgewebview2.exe                               50876 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\150....
msedgewebview2.exe                               50500 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\150....
msedgewebview2.exe                               52664 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\150....
msedgewebview2.exe                               50784 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\150....
msedgewebview2.exe                               52104 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\150....
msedgewebview2.exe                               32988 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\150....
msedgewebview2.exe                               46856 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\150....
msedgewebview2.exe                               42304 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\150....
msedgewebview2.exe                               51628 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\150....
msedgewebview2.exe                               49376 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\150....
msedgewebview2.exe                               67204 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\150....
msedgewebview2.exe                               54228 C:\Program Files (x86)\Microsoft\EdgeWebView\Application\150....
Elgato.WaveLink.exe                              48092 C:\Program Files\WindowsApps\Elgato.WaveLink_3.2.4.3627_x64__...
RuntimeBroker.exe                                45144 C:\Windows\System32\RuntimeBroker.exe                           
iCloudHome.exe                                   46616 C:\Program Files\WindowsApps\AppleInc.iCloud_15.8.127.0_x64__...
iCloudCKKS.exe                                   34760 C:\Program Files\WindowsApps\AppleInc.iCloud_15.8.127.0_x64__...
ApplePhotoStreams.exe                            25240 C:\Program Files\WindowsApps\AppleInc.iCloud_15.8.127.0_x64__...
APSDaemon.exe                                    12100 C:\Program Files\WindowsApps\AppleInc.iCloud_15.8.127.0_x64__...
RuntimeBroker.exe                                12280 C:\Windows\System32\RuntimeBroker.exe                           
svchost.exe                                      16592 C:\WINDOWS\system32\svchost.exe                                 
powershell.exe                                   23976 C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe       
conhost.exe                                      35664 C:\WINDOWS\system32\conhost.exe                                 
logioptionsplus_updater.exe                      35528                                                                 
logioptionsplus_agent.exe                        24468 C:\Program Files\LogiOptionsPlus\logioptionsplus_agent.exe      
unsecapp.exe                                     16796 C:\WINDOWS\system32\wbem\unsecapp.exe                           
logioptionsplus_appbroker.exe                    23672                                                                 
Antigravity.exe                                   4124 C:\Users\DEVIL\AppData\Local\Programs\Antigravity\Antigravity...
Antigravity.exe                                  75416 C:\Users\DEVIL\AppData\Local\Programs\Antigravity\Antigravity...
Antigravity.exe                                  36724 C:\Users\DEVIL\AppData\Local\Programs\Antigravity\Antigravity...
language_server.exe                              56752 C:\Users\DEVIL\AppData\Local\Programs\Antigravity\resources\b...
conhost.exe                                      16872 C:\WINDOWS\system32\conhost.exe                                 
Antigravity.exe                                  68968 C:\Users\DEVIL\AppData\Local\Programs\Antigravity\Antigravity...
Antigravity.exe                                  76188 C:\Users\DEVIL\AppData\Local\Programs\Antigravity\Antigravity...
Antigravity.exe                                  79832 C:\Users\DEVIL\AppData\Local\Programs\Antigravity\Antigravity...
WmiPrvSE.exe                                     60804                                                                 
powershell.exe                                   24460 C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe       
conhost.exe                                      68048 C:\WINDOWS\system32\conhost.exe                                 
RSI Launcher.exe                                 10484 C:\Program Files\Roberts Space Industries\RSI Launcher\RSI La...
